,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
Columbia County ,1,0,2,0,0,0,0,3,0,0,
Columbus,3,0,1,0,0,0,1,2,1,,"198,832"
Columbus,50,3,19,3,0,0,19,28,13,15,"872,205"
Columbus State Community College,0,1,0,0,0,0,0,0,1,0,"27,109"
Concord,0,0,1,0,0,0,0,0,1,0,"129,789"
Concord,0,0,0,1,0,0,0,0,1,0,"20,193"
Concord,1,0,0,0,0,0,0,1,0,0,"42,942"
Concord,1,0,0,0,0,0,0,0,0,1,"91,756"
Connecticut State Police,2,0,3,0,0,0,0,1,0,4,
Contra Costa,1,0,0,0,0,0,0,0,0,1,
Coon Rapids,0,1,0,0,0,0,0,0,1,0,"62,495"
Cooper City,0,1,0,0,0,0,0,0,0,1,"36,694"
Copley Township,0,0,0,2,0,0,0,0,2,0,"17,280"
Coral Gables,1,0,0,0,0,0,0,0,0,1,"51,487"
Corbin,2,0,0,0,0,0,0,0,0,2,"7,411"
Corcoran,1,0,0,0,0,0,0,1,0,0,"22,345"
Corning,1,0,0,0,0,0,0,1,0,0,"7,511"
Corona,1,0,1,0,0,0,0,0,2,0,"169,164"
Corsicana,0,0,1,0,0,0,0,0,0,1,"24,011"
Corvallis,3,0,1,0,0,0,0,2,1,1,"57,576"
Costa Mesa,2,0,0,0,0,0,1,0,0,1,"113,267"
Cottonwood,1,0,0,0,0,0,0,0,0,1,"12,116"
Coventry,1,0,0,0,0,0,0,0,1,0,"35,083"
Covina,0,0,1,0,0,0,0,1,0,0,"48,674"
Covington,4,1,1,0,0,0,1,2,0,3,"40,845"
Covington,2,0,0,1,0,0,0,1,2,0,"8,909"
Cowlitz,1,0,0,0,0,0,0,0,0,1,
Crawford,0,1,1,0,0,0,1,0,1,0,
Crawford County,0,1,0,0,0,0,1,0,0,0,
Crawford County,1,0,0,0,0,0,0,0,0,1,
Crescent City,1,0,0,0,0,0,0,0,0,1,"6,529"
Crook,0,0,1,0,0,0,1,0,0,0,
Crookston,0,1,0,0,0,0,,1,0,0,"7,789"
Crossville,1,0,0,0,0,0,0,1,0,0,"11,555"
Croton-on-Hudson Village,0,0,0,1,0,0,0,1,0,0,"8,271"
Crystal City,0,0,1,0,0,0,0,0,1,0,"4,817"
